Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
MocLabels,Mars Global Surveyor,isis/src/mgs/objs/MocLabels/MocLabels.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,"亦属 Spice, Instruments, and Cameras 相关类"

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,MocLabels,isis_pybind.MocLabels,Y,"2026-04-05 已在 src/mgs/bind_mgs_utilities.cpp 暴露"
Construction/Enum,MocLabels(Cube &cube),isis_pybind.MocLabels(),Y,"2026-04-05 已暴露 Cube 引用构造函数，使用 keep_alive"
Construction/Enum,MocLabels(const QString &file),isis_pybind.MocLabels(),Y,"2026-04-05 已暴露文件路径构造函数，接受 std::string"
Public API,inline bool NarrowAngle() const { return p_mocNA,isis_pybind.MocLabels.narrow_angle,Y,"2026-04-05 已暴露，判断是否为窄角相机"
Public API,inline bool WideAngle() const { return !p_mocNA,isis_pybind.MocLabels.wide_angle,Y,"2026-04-05 已暴露，判断是否为宽角相机"
Public API,inline bool WideAngleRed() const { return p_mocRedWA,isis_pybind.MocLabels.wide_angle_red,Y,"2026-04-05 已暴露，判断是否为红色宽角相机"
Public API,inline bool WideAngleBlue() const { return p_mocBlueWA,isis_pybind.MocLabels.wide_angle_blue,Y,"2026-04-05 已暴露，判断是否为蓝色宽角相机"
Public API,inline int CrosstrackSumming() const { return p_crosstrackSumming,isis_pybind.MocLabels.crosstrack_summing,Y,"2026-04-05 已暴露，返回跨轨求和模式"
Public API,inline int DowntrackSumming() const { return p_downtrackSumming,isis_pybind.MocLabels.downtrack_summing,Y,"2026-04-05 已暴露，返回沿轨求和模式"
Public API,inline int FirstLineSample() const { return p_startingSample,isis_pybind.MocLabels.first_line_sample,Y,"2026-04-05 已暴露，返回首行样本位置"
Public API,inline double FocalPlaneTemperature() const { return p_focalPlaneTemp,isis_pybind.MocLabels.focal_plane_temperature,Y,"2026-04-05 已暴露，返回焦平面温度"
Public API,inline double LineRate() const { return p_trueLineRate,isis_pybind.MocLabels.line_rate,Y,"2026-04-05 已暴露，返回真实行速率"
Public API,inline double ExposureDuration() const { return p_exposureDuration,isis_pybind.MocLabels.exposure_duration,Y,"2026-04-05 已暴露，返回曝光持续时间"
Public API,inline QString StartTime() const { return p_startTime,isis_pybind.MocLabels.start_time,Y,"2026-04-05 已暴露，返回起始时间字符串，使用 qstring_to_string 转换"
Public API,inline int Detectors() const { return p_mocNA ? 2048 : 3456,isis_pybind.MocLabels.detectors,Y,"2026-04-05 已暴露，窄角返回 2048，宽角返回 3456"
Public API,int StartDetector(int sample) const,isis_pybind.MocLabels.start_detector,Y,"2026-04-05 已暴露，返回给定样本的起始检测器位置"
Public API,int EndDetector(int sample) const,isis_pybind.MocLabels.end_detector,Y,"2026-04-05 已暴露，返回给定样本的结束检测器位置"
Public API,double Sample(int detector) const,isis_pybind.MocLabels.sample,Y,"2026-04-05 已暴露，返回给定检测器的样本位置"
Public API,double EphemerisTime(double line) const,isis_pybind.MocLabels.ephemeris_time,Y,"2026-04-05 已暴露，返回给定行的星历时间"
Public API,double Gain(int line = 1),isis_pybind.MocLabels.gain,Y,"2026-04-05 已暴露，返回给定行的增益，默认参数为 1"
Public API,double Offset(int line = 1),isis_pybind.MocLabels.offset,Y,"2026-04-05 已暴露，返回给定行的偏移，默认参数为 1"

