Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
BundleLidarRangeConstraint,Control Networks,isis/src/control/objs/BundleUtilities/BundleLidarRangeConstraint.h,N/A,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,BundleLidarRangeConstraint,isis_pybind.BundleLidarRangeConstraint,Y,Python class symbol not found in current binding files
Construction/Enum,BundleLidarRangeConstraint(),isis_pybind.BundleLidarRangeConstraint(),N,No default constructor; copy-only via internal creation
Public API,"bool applyConstraint(SparseBlockMatrix &normalsMatrix, LinearAlgebra::MatrixUpperTriangular& N22, SparseBlockColumnMatrix& N12, LinearAlgebra::VectorCompressed& n1, LinearAlgebra::Vector& n2)",isis_pybind.BundleLidarRangeConstraint.apply_constraint,N,Takes SparseBlockMatrix/LinearAlgebra types not exposed
Public API,double vtpv(),isis_pybind.BundleLidarRangeConstraint.vtpv,Y,Method not found in current binding files
Public API,void errorPropagation(),isis_pybind.BundleLidarRangeConstraint.error_propagation,N,Takes no args but depends on internal bundle state setup
Public API,void computeRange(),isis_pybind.BundleLidarRangeConstraint.compute_range,Y,Method not found in current binding files
Public API,double rangeObserved(),isis_pybind.BundleLidarRangeConstraint.range_observed,Y,Method not found in current binding files
Public API,double rangeComputed(),isis_pybind.BundleLidarRangeConstraint.range_computed,Y,Method not found in current binding files
Public API,double rangeObservedSigma(),isis_pybind.BundleLidarRangeConstraint.range_observed_sigma,Y,Method not found in current binding files
Public API,double rangeAdjustedSigma(),isis_pybind.BundleLidarRangeConstraint.range_adjusted_sigma,Y,Method not found in current binding files
Public API,QString formatBundleOutputString(bool errorProp=false),isis_pybind.BundleLidarRangeConstraint.format_bundle_output_string,Y,Method not found in current binding files
