Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
ObliqueCylindrical,Map Projection,isis/src/base/objs/ObliqueCylindrical/ObliqueCylindrical.h,src/base/bind_base_projection_types.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-12 完成全部公开方法绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,ObliqueCylindrical,isis_pybind.ObliqueCylindrical,Y,Exposed with full method suite
Construction/Enum,ObliqueCylindrical(),isis_pybind.ObliqueCylindrical(),Y,Constructor with label and allow_defaults
Public API,QString Name() const,isis_pybind.ObliqueCylindrical.name,Y,Returns projection name
Public API,QString Version() const,isis_pybind.ObliqueCylindrical.version,Y,Returns version string
Mutation/Configuration,"bool SetGround(const double lat, const double lon)",isis_pybind.ObliqueCylindrical.set_ground,Y,Forward projection to x/y via lambda-wrapped overrides
Mutation/Configuration,"bool SetCoordinate(const double x, const double y)",isis_pybind.ObliqueCylindrical.set_coordinate,Y,Inverse projection x/y to lat/lon (or ringRadius/ringLongitude)
Public API,"bool XYRange(double &minX, double &maxX, double &minY, double &maxY)",isis_pybind.ObliqueCylindrical.xy_range,Y,Returns tuple (minX maxX minY maxY) from lambda wrapper
Public API,PvlGroup Mapping(),isis_pybind.ObliqueCylindrical.mapping,Y,Returns mapping group PvlGroup
Public API,PvlGroup MappingLatitudes(),isis_pybind.ObliqueCylindrical.mapping_latitudes,Y,Returns latitude keywords PvlGroup
Public API,PvlGroup MappingLongitudes(),isis_pybind.ObliqueCylindrical.mapping_longitudes,Y,Returns longitude keywords PvlGroup
Public API,double poleLatitude() const,isis_pybind.ObliqueCylindrical.pole_latitude,Y,Returns oblique pole latitude in degrees
Public API,double poleLongitude() const,isis_pybind.ObliqueCylindrical.pole_longitude,Y,Returns oblique pole longitude in degrees
Public API,double poleRotation() const,isis_pybind.ObliqueCylindrical.pole_rotation,Y,Returns oblique pole rotation in degrees
