Priority Rank,Suggested Priority,Priority Reason,Class,Module Category,Generated CSV,Todo Status,Class Symbol Status,Y Count,N Count,Partial Count,Open Items,Total Items,Completion Percent,Source,Binding,Class Note
1,High,Already exported in Python with a small remaining API gap,ApolloMetricCamera,Apollo,apollo_apollo_metric_camera_methods.csv,Converted,Y,7,0,0,0,7,100.00,reference/upstream_isis/src/apollo/objs/ApolloMetricCamera/ApolloMetricCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ApolloMetricDistortionMap,Apollo,apollo_apollo_metric_distortion_map_methods.csv,Converted,Y,4,0,0,0,4,100.00,reference/upstream_isis/src/apollo/objs/ApolloMetricCamera/ApolloMetricDistortionMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and SetFocalPlane/SetUndistortedFocalPlane in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ApolloPanoramicCamera,Apollo,apollo_apollo_panoramic_camera_methods.csv,Converted,Y,9,0,0,0,9,100.00,reference/upstream_isis/src/apollo/objs/ApolloPanoramicCamera/ApolloPanoramicCamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and residual/CK/SPK interfaces; intOriResidualsReport via a pybind wrapper avoiding upstream undefined symbols in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ApolloPanoramicDetectorMap,Apollo,apollo_apollo_panoramic_detector_map_methods.csv,Converted,Y,10,0,0,0,10,100.00,reference/upstream_isis/src/apollo/objs/ApolloPanoramicCamera/ApolloPanoramicDetectorMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposedconstructors and SetDetector in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,IssNACamera,Cassini,cassini_iss_na_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,isis/src/cassini/objs/IssNACamera/IssNACamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,IssWACamera,Cassini,cassini_iss_wa_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,isis/src/cassini/objs/IssWACamera/IssWACamera.h,isis_pybind_standalone/src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,VimsCamera,Cassini,cassini_vims_camera_methods.csv,Converted,Y,7,0,0,0,7,100.00,reference/upstream_isis/src/cassini/objs/VimsCamera/VimsCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,VimsGroundMap,Cassini,cassini_vims_ground_map_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/cassini/objs/VimsCamera/VimsGroundMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposedconstructors and SetGround in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,VimsSkyMap,Cassini,cassini_vims_sky_map_methods.csv,Converted,Y,5,0,0,0,5,100.00,reference/upstream_isis/src/cassini/objs/VimsCamera/VimsSkyMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposedconstructors and SetSky in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,Chandrayaan1M3Camera,Chandrayaan-1,chandrayaan1_chandrayaan1_m3_camera_methods.csv,Converted,Y,5,0,0,0,5,100.00,reference/upstream_isis/src/chandrayaan1/objs/Chandrayaan1M3Camera/Chandrayaan1M3Camera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,Chandrayaan1M3DistortionMap,Chandrayaan-1,chandrayaan1_chandrayaan1_m3_distortion_map_methods.csv,Converted,Y,4,0,0,0,4,100.00,reference/upstream_isis/src/chandrayaan1/objs/Chandrayaan1M3Camera/Chandrayaan1M3DistortionMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposedconstructors and SetFocalPlane/SetUndistortedFocalPlane in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ClementineUvvisDistortionMap,Clementine,clementine_clementine_uvvis_distortion_map_methods.csv,Converted,Y,4,0,0,0,4,100.00,reference/upstream_isis/src/clementine/objs/UvvisCamera/ClementineUvvisDistortionMap.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposedconstructors and SetFocalPlane/SetUndistortedFocalPlane in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,HiresCamera,Clementine,clementine_hires_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/clementine/objs/HiresCamera/HiresCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,LwirCamera,Clementine,clementine_lwir_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/clementine/objs/LwirCamera/LwirCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,NirCamera,Clementine,clementine_nir_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/clementine/objs/NirCamera/NirCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,UvvisCamera,Clementine,clementine_uvvis_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/clementine/objs/UvvisCamera/UvvisCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ClipperNacRollingShutterCamera,Clipper,clipper_clipper_nac_rolling_shutter_camera_methods.csv,Converted,Y,5,0,0,0,5,100.00,reference/upstream_isis/src/clipper/objs/ClipperNacRollingShutterCamera/ClipperNacRollingShutterCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ClipperPushBroomCamera,Clipper,clipper_clipper_push_broom_camera_methods.csv,Converted,Y,5,0,0,0,5,100.00,reference/upstream_isis/src/clipper/objs/ClipperPushBroomCamera/ClipperPushBroomCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ClipperWacFcCamera,Clipper,clipper_clipper_wac_fc_camera_methods.csv,Converted,Y,6,0,0,0,6,100.00,reference/upstream_isis/src/clipper/objs/ClipperWacFcCamera/ClipperWacFcCamera.h,src/mission/bind_mission_cameras.cpp,2026-04-07 exposed Cube constructor and shutter_open_close_times/CK/SPK interfaces in src/mission/bind_mission_cameras.cpp
1,High,Already exported in Python with a small remaining API gap,ControlNetDiff,Control Networks,control_control_net_diff_methods.csv,Converted,Y,5,0,0,0,5,100.00,isis/src/control/objs/ControlNetDiff/ControlNetDiff.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-21 exposed compare(...) and tolerances interfaces in bind_control_core.cpp
1,High,Already exported in Python with a small remaining API gap,ControlNetFilter,Control Networks,control_control_net_filter_methods.csv,Converted,Y,23,0,0,0,23,100.00,isis/src/control/objs/ControlNetFilter/ControlNetFilter.h,src/control/bind_control_core.cpp,"2026-04-08 synchronously exposed all public filters and output helper, and added focused unit tests in bind_control_core.cpp"
1,High,Already exported in Python with a small remaining API gap,ControlNetStatistics,Control Networks,control_control_net_statistics_methods.csv,Converted,Y,35,0,0,0,35,100.00,isis/src/control/objs/ControlNetStatistics/ControlNetStatistics.h,src/control/bind_control_core.cpp,2026-04-11 completed binding all public methods; GenerateImageStats/PrintImageStats/GetImageStatsBySerialNum/GeneratePointStats added
1,High,Already exported in Python with a small remaining API gap,ControlPointList,Control Networks,control_control_point_list_methods.csv,Converted,Y,7,0,0,0,7,100.00,isis/src/control/objs/ControlPointList/ControlPointList.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-21 exposed file-reading/indexing/statistics-registration interfaces in bind_control_core.cpp
1,High,Already exported in Python with a small remaining API gap,ControlPointV0001,Control Networks,control_control_point_v0001_methods.csv,Converted,Y,4,0,0,0,4,100.00,isis/src/control/objs/ControlNetVersioner/ControlPointV0001.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-22 exposed PVL constructor and protobuf bytes/debug-string adaptedinterfaces in bind_control_core.cpp
1,High,Already exported in Python with a small remaining API gap,ControlPointV0002,Control Networks,control_control_point_v0002_methods.csv,Converted,Y,4,0,0,0,4,100.00,isis/src/control/objs/ControlNetVersioner/ControlPointV0002.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-22 exposed PVL/upgrade constructor and protobuf bytes/debug-string adaptedinterfaces in bind_control_core.cpp
1,High,Already exported in Python with a small remaining API gap,ControlPointV0003,Control Networks,control_control_point_v0003_methods.csv,Converted,Y,3,0,0,0,3,100.00,isis/src/control/objs/ControlNetVersioner/ControlPointV0003.h,isis_pybind_standalone/src/control/bind_control_core.cpp,2026-03-22 exposed PVL/upgrade constructor and protobuf bytes/debug-string adaptedinterfaces in bind_control_core.cpp
