Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
Longitude,Utility,isis/src/base/objs/Longitude/Longitude.h,isis_pybind_standalone/src/base/bind_base_geometry.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,Longitude,isis_pybind.Longitude,Y,Python class symbol is exported
Construction/Enum,"Direction enum (PositiveEast, PositiveWest)",isis_pybind.Longitude.Direction,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Construction/Enum,"Domain enum (Domain360, Domain180)",isis_pybind.Longitude.Domain,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Construction/Enum,Longitude(),isis_pybind.Longitude(),Y,Constructor is explicitly bound
Public API,double positiveEast(Angle::Units units = Angle::Radians) const,isis_pybind.Longitude.positive_east,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Mutation/Configuration,"void setPositiveEast(double longitude, Angle::Units units = Angle::Radians)",isis_pybind.Longitude.set_positive_east,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,double positiveWest(Angle::Units units = Angle::Radians) const,isis_pybind.Longitude.positive_west,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Mutation/Configuration,"void setPositiveWest(double longitude, Angle::Units units = Angle::Radians)",isis_pybind.Longitude.set_positive_west,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,Longitude force180Domain() const,isis_pybind.Longitude.force180_domain,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,Longitude force360Domain() const,isis_pybind.Longitude.force360_domain,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Public API,"bool inRange(Longitude min, Longitude max) const",isis_pybind.Longitude.in_range,Y,2026-04-11 台账同步；已在 bind_base_geometry.cpp 暴露
Static/Factory,"static QList< QPair<Longitude, Longitude> > to360Range(Longitude startLon, Longitude endLon)",isis_pybind.Longitude.to360_range,Y,2026-04-12 已在 bind_base_geometry.cpp 以 Python-friendly list[tuple[Longitude, Longitude]] 形式暴露；focused 单测覆盖 wrap-around split
