selection_rule,pair_tag,method,effective_matcher,status,before_ground_filter,after_ground_filter,ground_dropped,after_ransac,ransac_dropped,deep_imported_match_count,viz,metadata_path
*0982RE-*81352RE,REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal,sift_flann,,matched,1470,1301,169,1292,9,,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_viz/dom_REDUCED_M110860982RE__dom_REDUCED_M110881352RE__20260605T004446.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_metadata/REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal.json
*7155LE-*48465RE,REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal,sift_flann,,matched,114,71,43,67,4,,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_viz/dom_REDUCED_M1137247155LE__dom_REDUCED_M1200848465RE__20260605T004431.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_metadata/REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal.json
*0700LE-*37125RE,REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal,sift_flann,,matched,2491,2443,48,2440,3,,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_viz/dom_REDUCED_M140550700LE__dom_REDUCED_M140537125RE__20260605T004436.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/sift_flann/match_metadata/REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal.json
*0982RE-*81352RE,REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal,adaptive,,imported,2094,1985,109,1985,0,2094,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_viz/dom_REDUCED_M110860982RE__dom_REDUCED_M110881352RE__20260605T010652.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_metadata/REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal.json
*7155LE-*48465RE,REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal,adaptive,,matched,293,215,78,208,7,,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_viz/dom_REDUCED_M1137247155LE__dom_REDUCED_M1200848465RE__20260605T004514.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_metadata/REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal.json
*0700LE-*37125RE,REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal,adaptive,,matched,10539,10427,112,10415,12,,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_viz/dom_REDUCED_M140550700LE__dom_REDUCED_M140537125RE__20260605T004526.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/adaptive/match_metadata/REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal.json
*0982RE-*81352RE,REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal,loftr,,imported,7228,4801,2427,4647,154,7228,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_viz/dom_REDUCED_M110860982RE__dom_REDUCED_M110881352RE__20260605T010703.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_metadata/REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal.json
*7155LE-*48465RE,REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal,loftr,,imported,5671,5248,423,5161,87,5671,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_viz/dom_REDUCED_M1137247155LE__dom_REDUCED_M1200848465RE__20260605T010658.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_metadata/REDUCED_M1137247155LE.echo.cal__REDUCED_M1200848465RE.echo.cal.json
*0700LE-*37125RE,REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal,loftr,,imported,12092,11702,390,11494,208,12092,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_viz/dom_REDUCED_M140550700LE__dom_REDUCED_M140537125RE__20260605T010701.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/loftr/match_metadata/REDUCED_M140550700LE.echo.cal__REDUCED_M140537125RE.echo.cal.json
*0982RE-*81352RE,REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal,superpoint_lightglue,,imported,735,413,322,359,54,735,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/superpoint_lightglue/match_viz/dom_REDUCED_M110860982RE__dom_REDUCED_M110881352RE__20260605T010715.png,/media/gengxun/My Passport/data/lro/testdata_lunar_80S_89.9S/texture_lighting_pair_selection/original_gsd/work/SELECTED_PAPER_USE/selected_3pair_five_method_match_20260605/superpoint_lightglue/match_metadata/REDUCED_M110860982RE.echo.cal__REDUCED_M110881352RE.echo.cal.json
