queue_order,header,class_or_group,binding_files,classification,isis9_api,isis10_api,python_contract,code_action,isis9_validation,isis10_validation,status,review_date,notes
1,Cube.h,Cube,src/bind_low_level_cube_io.cpp,shared-wrapper,"labelsAttached/setLabelsAttached use bool; storesDnData exists; Format Bsq/Tile","labelsAttached/setLabelsAttached use LabelAttachment; storesDnData removed; Format adds GTiff","labels_attached and set_labels_attached retain bool semantics; label_attachment and set_label_attachment expose exact enum","Local PYISIS_ISIS10_API adapters; GTiff version-gated","build PASS; cube_unit_test 30/30; smoke PASS","build PASS; cube_unit_test 30/30; smoke PASS",closed,2026-07-24,"No duplicated version binding; ExternalLabel query preserved through storesDnData on ISIS 9"
2,CubeAttribute.h,CubeAttribute/LabelAttachment,src/bind_low_level_cube_io.cpp,shared-wrapper,"LabelAttachment is namespace-level; External string conversion is broken upstream; no GTiff/propagateFileFormat","LabelAttachment is nested under Cube; adds GdalLabel and GTiff; adds propagateFileFormat","common enum names and External conversion remain stable; GdalLabel/GTiff/propagate_file_format are ISIS 10-only","Local External conversion adapter; version-gate ISIS 10-only symbols","build PASS; focused 7/7; smoke PASS","build PASS; focused 7/7; smoke PASS",closed,2026-07-24,"+GTiff parses on ISIS 10; +Gdal remains unsupported by upstream attribute parser"
3,Blob.h,Blob,src/bind_low_level_cube_io.cpp,version-gated-addition,"stable file/bytes/label API; stream Write has detached filename and overwrite arguments","adds Key/StartByte and GDAL methods; stream Write signature simplified","shared file/bytes/label contract; key/start_byte are ISIS 10-only","Version-gate safe read-only metadata; exclude GDAL raw pointer and C++ stream APIs","build PASS; focused 2/2; smoke PASS","build PASS; focused 2/2; smoke PASS",closed,2026-07-24,"Key format verified as Blob_UnitTest; no duplicated class binding"
4,Table.h,Table,src/bind_low_level_cube_io.cpp,shared-no-change,"includes default constructor plus stable public table API","default constructor removed; all other public declarations unchanged","no public no-argument constructor; all useful constructors and Table/Blob round-trip shared","Add shared Blob constructor and to_blob; no version branch needed","build PASS; focused 8/8; smoke PASS","build PASS; focused 8/8; smoke PASS",closed,2026-07-24,"TableRecord.h and TableField.h are declaration-identical across versions"
5,ProcessByBrick.h,ProcessByBrick,src/bind_high_level_cube_io.cpp,shared-no-change,"Qt5 internal progress future uses QFuture<void>","Qt6 internal progress future uses QFuture<void*>","existing public configuration API is identical; callback processing facade remains a separate design item","No compatibility code change; correct stale inventory only","existing build PASS; process_unit_test 6/6; smoke PASS","existing build PASS; process_unit_test 6/6; smoke PASS",closed,2026-07-24,"Only private/protected QtConcurrent implementation declarations changed"
6,Pvl.h,Pvl,src/base/bind_base_pvl.cpp,version-gated-addition,"stable PVL text/file/template API","adds ordered JSON conversion; GDAL label read; internal readObject helper","shared existing surface; to_json returns Python containers and read_gdal is ISIS 10-only","Version-gate JSON/GDAL methods; exclude recursive reference out-param helper","build PASS; PvlUnitTest 17/17; smoke PASS","build PASS; PvlUnitTest 17/17; smoke PASS",closed,2026-07-24,"Python does not depend on a nlohmann JSON caster"
7,PvlObject.h,PvlObject,src/base/bind_base_pvl.cpp,shared-no-change,"QList-backed groups/objects and QList iterator types","QLinkedList-backed groups/objects and QLinkedList iterator types","Python sees stable object/group lookup and reference-internal values; no Qt container type exported","No code change; existing PVL object/group tests cover both versions","build PASS; PvlUnitTest 19/19; smoke PASS","build PASS; PvlUnitTest 19/19; smoke PASS",closed,2026-07-24,"Container implementation change is hidden behind existing value/reference wrappers"
8,PvlKeyword.h,PvlKeyword,src/base/bind_base_pvl.cpp,version-gated-addition,"stable text/unit/comment API; JSON setter accepts optional unit","JSON setters lose unit parameter and add array helpers/toJson","common text/unit/comment API remains stable; JSON helpers are ISIS 10-only","Expose Python JSON objects through stdlib json conversion; preserve strings returned by ISIS PVL","build PASS; focused 2/2; smoke PASS","build PASS; focused 2/2; smoke PASS",closed,2026-07-24,"No nlohmann caster exposed"
9,PvlContainer.h,PvlContainer,src/base/bind_base_pvl.cpp,version-gated-addition,"no public default constructor; QList-backed keyword storage","adds default constructor; QLinkedList-backed keyword storage","PvlContainer() is ISIS 10-only; shared keyword API remains stable","Version-gate default constructor; no Qt container exposed","build PASS; PvlUnitTest 19/19; smoke PASS","build PASS; PvlUnitTest 19/19; smoke PASS",closed,2026-07-24,"Default constructor is useful for generic metadata assembly"
10,BundleSettings.h,BundleSettings,src/control/bind_control_core.cpp;src/control/bind_bundle_advanced.cpp,shared-no-change,"public BundleSettings configuration API and enums","same public API; adds QStringRef include for Qt6 compatibility","shared Python configuration contract","No binding code change; validate full control/bundle focused suites","build PASS; 85 tests (1 skip); smoke PASS","build PASS; 85 tests (1 skip); smoke PASS",closed,2026-07-24,"No Python-visible signature drift detected"
11,ImagePolygon.h,ImagePolygon,src/base/bind_base_image_polygon.cpp,shared-no-change,"polygon coordinate/WKT/Blob API","same declarations and geometry API","shared Python polygon contract","No compatibility code change; verify geometry and Blob round-trip tests","build PASS; focused 10/10; smoke PASS","build PASS; focused 10/10; smoke PASS",closed,2026-07-24,"No Qt or container type crosses the binding boundary"
12,SurfaceModel.h,SurfaceModel,src/base/bind_base_math.cpp,shared-no-change,"surface fitting and min/max API","same declarations and numerical API","shared Python numerical contract","No compatibility code change; verify focused numerical tests","build PASS; focused 6/6; smoke PASS","build PASS; focused 6/6; smoke PASS",closed,2026-07-24,"No version-visible difference"
13,Latitude.h,Latitude,src/base/bind_base_geometry.cpp,shared-no-change,"latitude constructors and coordinate conversion","same declarations and conversion API","shared Python latitude contract","No compatibility code change","build PASS; focused 6/6; smoke PASS","build PASS; focused 6/6; smoke PASS",closed,2026-07-24,"No version-visible difference"
14,Longitude.h,Longitude,src/base/bind_base_geometry.cpp,shared-no-change,"longitude constructors and domain helpers","same declarations and domain API","shared Python longitude contract","No compatibility code change","build PASS; focused 6/6; smoke PASS","build PASS; focused 6/6; smoke PASS",closed,2026-07-24,"No version-visible difference"
15,Spice.h,Spice,src/bind_spice_navigation.cpp,shared-wrapper,"Spice(Cube) plus shared NAIF/vector accessors; Pvl+JSON constructor","Spice(Cube,Pvl,JSON) replaces old Pvl+JSON constructor; load becomes public","current Python contract uses only shared Spice(Cube) and accessors","Do not expose unused incompatible constructor; keep load out until a stable keyword facade exists","build PASS; camera_unit_test 9/9; smoke PASS","build PASS; camera_unit_test 9/9; smoke PASS",closed,2026-07-24,"No duplicate version binding; constructor drift is outside current Python surface"
16,SpiceRotation.h,SpiceRotation,src/bind_spice_navigation.cpp,shared-no-change,"public rotation/cache API unchanged; Qt5 internal member layout","same public API; orientation pointer initialized inline and member order adjusted","shared Python rotation contract","No compatibility code change","build PASS; spice_navigation 57/57; smoke PASS","build PASS; spice_navigation 57/57; smoke PASS",closed,2026-07-24,"No public signature drift detected"
17,SpicePosition.h,SpicePosition,src/bind_spice_navigation.cpp,shared-no-change,"public position/cache/polynomial API","same declarations and API","shared Python position contract","No compatibility code change","build PASS; spice_navigation 57/57; smoke PASS","build PASS; spice_navigation 57/57; smoke PASS",closed,2026-07-24,"Header declarations identical"
18,CameraFactory.h,CameraFactory,src/bind_camera_factory.cpp,version-gated-addition,"Cube create/camera_version/initPlugin; Pvl camera-version overload; no CSM ISD helpers","same common API plus constructModelFromIsd/getModelSpecFromIsd returning csm::Model/QStringList","shared Cube-driven factory contract; CSM ISD helpers remain intentionally outside Python surface","Keep stable Cube helpers; exclude ISIS10 CSM ISD methods because of csm::Model ownership and plugin lifecycle","build PASS; camera_unit_test 9/9; smoke PASS","build PASS; camera_unit_test 9/9; smoke PASS",closed,2026-07-24,"No duplicate class binding; CSM additions are documented as deferred"
19,CameraStatistics.h,CameraStatistics,src/bind_statistics.cpp,shared-no-change,"statistics constructors/accessors","same public declarations","shared statistics accessor contract","No compatibility code change","build PASS; image_overlap_camera_unit_test 43 tests (4 skips); smoke PASS","build PASS; image_overlap_camera_unit_test 43 tests (4 skips); smoke PASS",closed,2026-07-24,"Header declarations identical"
20,CameraDetectorMap.h,CameraDetectorMap,src/bind_camera_maps.cpp;src/bind_camera.cpp,shared-no-change,"detector geometry and framing API","same public declarations","shared detector-map geometry contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Header declarations identical"
